Metric,Country,Administrative region,Year,HS_BIN,Class label,Count,Total valid cells,Percentage (%)
FC,China,Heilongjiang,2016,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2017,-3,"Cold spot, 99%",17,314,5.41
FC,China,Heilongjiang,2017,-2,"Cold spot, 95%",105,314,33.44
FC,China,Heilongjiang,2017,-1,"Cold spot, 90%",22,314,7.01
FC,China,Heilongjiang,2017,0,Not significant,167,314,53.18
FC,China,Heilongjiang,2017,1,"Hot spot, 90%",3,314,0.96
FC,China,Heilongjiang,2017,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2017,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2018,-3,"Cold spot, 99%",8,314,2.55
FC,China,Heilongjiang,2018,-2,"Cold spot, 95%",90,314,28.66
FC,China,Heilongjiang,2018,-1,"Cold spot, 90%",19,314,6.05
FC,China,Heilongjiang,2018,0,Not significant,128,314,40.76
FC,China,Heilongjiang,2018,1,"Hot spot, 90%",21,314,6.69
FC,China,Heilongjiang,2018,2,"Hot spot, 95%",21,314,6.69
FC,China,Heilongjiang,2018,3,"Hot spot, 99%",27,314,8.6
FC,China,Heilongjiang,2019,-3,"Cold spot, 99%",4,314,1.27
FC,China,Heilongjiang,2019,-2,"Cold spot, 95%",87,314,27.71
FC,China,Heilongjiang,2019,-1,"Cold spot, 90%",17,314,5.41
FC,China,Heilongjiang,2019,0,Not significant,103,314,32.8
FC,China,Heilongjiang,2019,1,"Hot spot, 90%",14,314,4.46
FC,China,Heilongjiang,2019,2,"Hot spot, 95%",24,314,7.64
FC,China,Heilongjiang,2019,3,"Hot spot, 99%",65,314,20.7
FC,China,Heilongjiang,2020,-3,"Cold spot, 99%",9,314,2.87
FC,China,Heilongjiang,2020,-2,"Cold spot, 95%",101,314,32.17
FC,China,Heilongjiang,2020,-1,"Cold spot, 90%",25,314,7.96
FC,China,Heilongjiang,2020,0,Not significant,148,314,47.13
FC,China,Heilongjiang,2020,1,"Hot spot, 90%",4,314,1.27
FC,China,Heilongjiang,2020,2,"Hot spot, 95%",16,314,5.1
FC,China,Heilongjiang,2020,3,"Hot spot, 99%",11,314,3.5
FC,China,Heilongjiang,2021,-3,"Cold spot, 99%",26,314,8.28
FC,China,Heilongjiang,2021,-2,"Cold spot, 95%",94,314,29.94
FC,China,Heilongjiang,2021,-1,"Cold spot, 90%",32,314,10.19
FC,China,Heilongjiang,2021,0,Not significant,162,314,51.59
FC,China,Heilongjiang,2021,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2021,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2021,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2022,-3,"Cold spot, 99%",12,314,3.82
FC,China,Heilongjiang,2022,-2,"Cold spot, 95%",99,314,31.53
FC,China,Heilongjiang,2022,-1,"Cold spot, 90%",21,314,6.69
FC,China,Heilongjiang,2022,0,Not significant,179,314,57.01
FC,China,Heilongjiang,2022,1,"Hot spot, 90%",1,314,0.32
FC,China,Heilongjiang,2022,2,"Hot spot, 95%",2,314,0.64
FC,China,Heilongjiang,2022,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2023,-3,"Cold spot, 99%",15,314,4.78
FC,China,Heilongjiang,2023,-2,"Cold spot, 95%",152,314,48.41
FC,China,Heilongjiang,2023,-1,"Cold spot, 90%",57,314,18.15
FC,China,Heilongjiang,2023,0,Not significant,90,314,28.66
FC,China,Heilongjiang,2023,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2023,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2023,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2024,-3,"Cold spot, 99%",35,314,11.15
FC,China,Heilongjiang,2024,-2,"Cold spot, 95%",179,314,57.01
FC,China,Heilongjiang,2024,-1,"Cold spot, 90%",49,314,15.61
FC,China,Heilongjiang,2024,0,Not significant,51,314,16.24
FC,China,Heilongjiang,2024,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2024,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2024,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2025,-3,"Cold spot, 99%",27,314,8.6
FC,China,Heilongjiang,2025,-2,"Cold spot, 95%",204,314,64.97
FC,China,Heilongjiang,2025,-1,"Cold spot, 90%",55,314,17.52
FC,China,Heilongjiang,2025,0,Not significant,28,314,8.92
FC,China,Heilongjiang,2025,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2025,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2025,3,"Hot spot, 99%",0,314,0.0
FC,China,Jilin,2001,-3,"Cold spot, 99%",4,206,1.94
FC,China,Jilin,2001,-2,"Cold spot, 95%",60,206,29.13
FC,China,Jilin,2001,-1,"Cold spot, 90%",74,206,35.92
FC,China,Jilin,2001,0,Not significant,68,206,33.01
FC,China,Jilin,2001,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2001,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2001,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2002,-3,"Cold spot, 99%",91,206,44.17
FC,China,Jilin,2002,-2,"Cold spot, 95%",93,206,45.15
FC,China,Jilin,2002,-1,"Cold spot, 90%",7,206,3.4
FC,China,Jilin,2002,0,Not significant,15,206,7.28
FC,China,Jilin,2002,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2002,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2002,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2003,-3,"Cold spot, 99%",82,206,39.81
FC,China,Jilin,2003,-2,"Cold spot, 95%",94,206,45.63
FC,China,Jilin,2003,-1,"Cold spot, 90%",14,206,6.8
FC,China,Jilin,2003,0,Not significant,7,206,3.4
FC,China,Jilin,2003,1,"Hot spot, 90%",2,206,0.97
FC,China,Jilin,2003,2,"Hot spot, 95%",2,206,0.97
FC,China,Jilin,2003,3,"Hot spot, 99%",5,206,2.43
FC,China,Jilin,2004,-3,"Cold spot, 99%",40,206,19.42
FC,China,Jilin,2004,-2,"Cold spot, 95%",112,206,54.37
FC,China,Jilin,2004,-1,"Cold spot, 90%",21,206,10.19
FC,China,Jilin,2004,0,Not significant,20,206,9.71
FC,China,Jilin,2004,1,"Hot spot, 90%",1,206,0.49
FC,China,Jilin,2004,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2004,3,"Hot spot, 99%",12,206,5.83
FC,China,Jilin,2005,-3,"Cold spot, 99%",54,206,26.21
FC,China,Jilin,2005,-2,"Cold spot, 95%",100,206,48.54
FC,China,Jilin,2005,-1,"Cold spot, 90%",13,206,6.31
FC,China,Jilin,2005,0,Not significant,25,206,12.14
FC,China,Jilin,2005,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2005,2,"Hot spot, 95%",1,206,0.49
FC,China,Jilin,2005,3,"Hot spot, 99%",13,206,6.31
FC,China,Jilin,2006,-3,"Cold spot, 99%",73,206,35.44
FC,China,Jilin,2006,-2,"Cold spot, 95%",84,206,40.78
FC,China,Jilin,2006,-1,"Cold spot, 90%",15,206,7.28
FC,China,Jilin,2006,0,Not significant,22,206,10.68
FC,China,Jilin,2006,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2006,2,"Hot spot, 95%",5,206,2.43
FC,China,Jilin,2006,3,"Hot spot, 99%",7,206,3.4
FC,China,Jilin,2007,-3,"Cold spot, 99%",47,206,22.82
FC,China,Jilin,2007,-2,"Cold spot, 95%",121,206,58.74
FC,China,Jilin,2007,-1,"Cold spot, 90%",19,206,9.22
FC,China,Jilin,2007,0,Not significant,15,206,7.28
FC,China,Jilin,2007,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2007,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2007,3,"Hot spot, 99%",4,206,1.94
FC,China,Jilin,2008,-3,"Cold spot, 99%",9,206,4.37
FC,China,Jilin,2008,-2,"Cold spot, 95%",111,206,53.88
FC,China,Jilin,2008,-1,"Cold spot, 90%",24,206,11.65
FC,China,Jilin,2008,0,Not significant,51,206,24.76
FC,China,Jilin,2008,1,"Hot spot, 90%",1,206,0.49
FC,China,Jilin,2008,2,"Hot spot, 95%",1,206,0.49
FC,China,Jilin,2008,3,"Hot spot, 99%",9,206,4.37
FC,China,Jilin,2009,-3,"Cold spot, 99%",0,206,0.0
FC,China,Jilin,2009,-2,"Cold spot, 95%",85,206,41.26
FC,China,Jilin,2009,-1,"Cold spot, 90%",22,206,10.68
FC,China,Jilin,2009,0,Not significant,87,206,42.23
FC,China,Jilin,2009,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2009,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2009,3,"Hot spot, 99%",12,206,5.83
FC,China,Jilin,2010,-3,"Cold spot, 99%",21,206,10.19
FC,China,Jilin,2010,-2,"Cold spot, 95%",109,206,52.91
FC,China,Jilin,2010,-1,"Cold spot, 90%",29,206,14.08
FC,China,Jilin,2010,0,Not significant,38,206,18.45
FC,China,Jilin,2010,1,"Hot spot, 90%",2,206,0.97
FC,China,Jilin,2010,2,"Hot spot, 95%",2,206,0.97
FC,China,Jilin,2010,3,"Hot spot, 99%",5,206,2.43
FC,China,Jilin,2011,-3,"Cold spot, 99%",91,206,44.17
FC,China,Jilin,2011,-2,"Cold spot, 95%",92,206,44.66
FC,China,Jilin,2011,-1,"Cold spot, 90%",4,206,1.94
FC,China,Jilin,2011,0,Not significant,14,206,6.8
FC,China,Jilin,2011,1,"Hot spot, 90%",1,206,0.49
FC,China,Jilin,2011,2,"Hot spot, 95%",1,206,0.49
FC,China,Jilin,2011,3,"Hot spot, 99%",3,206,1.46
FC,China,Jilin,2012,-3,"Cold spot, 99%",92,206,44.66
FC,China,Jilin,2012,-2,"Cold spot, 95%",88,206,42.72
FC,China,Jilin,2012,-1,"Cold spot, 90%",5,206,2.43
FC,China,Jilin,2012,0,Not significant,14,206,6.8
FC,China,Jilin,2012,1,"Hot spot, 90%",3,206,1.46
FC,China,Jilin,2012,2,"Hot spot, 95%",2,206,0.97
FC,China,Jilin,2012,3,"Hot spot, 99%",2,206,0.97
FC,China,Jilin,2013,-3,"Cold spot, 99%",93,206,45.15
FC,China,Jilin,2013,-2,"Cold spot, 95%",97,206,47.09
FC,China,Jilin,2013,-1,"Cold spot, 90%",3,206,1.46
FC,China,Jilin,2013,0,Not significant,13,206,6.31
FC,China,Jilin,2013,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2013,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2013,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2014,-3,"Cold spot, 99%",4,206,1.94
FC,China,Jilin,2014,-2,"Cold spot, 95%",154,206,74.76
FC,China,Jilin,2014,-1,"Cold spot, 90%",28,206,13.59
FC,China,Jilin,2014,0,Not significant,14,206,6.8
FC,China,Jilin,2014,1,"Hot spot, 90%",2,206,0.97
FC,China,Jilin,2014,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2014,3,"Hot spot, 99%",4,206,1.94
FC,China,Jilin,2015,-3,"Cold spot, 99%",2,206,0.97
FC,China,Jilin,2015,-2,"Cold spot, 95%",126,206,61.17
FC,China,Jilin,2015,-1,"Cold spot, 90%",37,206,17.96
FC,China,Jilin,2015,0,Not significant,33,206,16.02
FC,China,Jilin,2015,1,"Hot spot, 90%",2,206,0.97
FC,China,Jilin,2015,2,"Hot spot, 95%",2,206,0.97
FC,China,Jilin,2015,3,"Hot spot, 99%",4,206,1.94
FC,China,Jilin,2016,-3,"Cold spot, 99%",70,206,33.98
FC,China,Jilin,2016,-2,"Cold spot, 95%",100,206,48.54
FC,China,Jilin,2016,-1,"Cold spot, 90%",18,206,8.74
FC,China,Jilin,2016,0,Not significant,18,206,8.74
FC,China,Jilin,2016,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2016,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2016,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2017,-3,"Cold spot, 99%",82,206,39.81
FC,China,Jilin,2017,-2,"Cold spot, 95%",103,206,50.0
FC,China,Jilin,2017,-1,"Cold spot, 90%",5,206,2.43
FC,China,Jilin,2017,0,Not significant,16,206,7.77
FC,China,Jilin,2017,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2017,2,"Hot spot, 95%",0,206,0.0
FC,China,Jilin,2017,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2018,-3,"Cold spot, 99%",74,206,35.92
FC,China,Jilin,2018,-2,"Cold spot, 95%",98,206,47.57
FC,China,Jilin,2018,-1,"Cold spot, 90%",7,206,3.4
FC,China,Jilin,2018,0,Not significant,24,206,11.65
FC,China,Jilin,2018,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2018,2,"Hot spot, 95%",3,206,1.46
FC,China,Jilin,2018,3,"Hot spot, 99%",0,206,0.0
FC,China,Jilin,2019,-3,"Cold spot, 99%",90,206,43.69
FC,China,Jilin,2019,-2,"Cold spot, 95%",95,206,46.12
FC,China,Jilin,2019,-1,"Cold spot, 90%",2,206,0.97
FC,China,Jilin,2019,0,Not significant,14,206,6.8
FC,China,Jilin,2019,1,"Hot spot, 90%",0,206,0.0
FC,China,Jilin,2019,2,"Hot spot, 95%",1,206,0.49
FC,China,Jilin,2019,3,"Hot spot, 99%",4,206,1.94
FC,China,Jilin,2020,-3,"Cold spot, 99%",98,206,47.57
FC,China,Jilin,2020,-2,"Cold spot, 95%",91,206,44.17
